 ,"Transverse momentum distributions (coalescence model), d^2N/dpT^2",,,,,
,,,,,,
,Lambda_c,,Xi_cc,,Omega_ccc,
pT,RHIC 0.2,LHC 2.76,RHIC 0.2,LHC 2.76,RHIC 0.2,LHC 2.76
0,1.10E-01,3.17E-01,6.35E-05,3.21E-04,2.12E-08,1.90E-07
0.3,1.04E-01,3.27E-01,6.00E-05,3.19E-04,2.02E-08,1.89E-07
0.6,8.68E-02,3.21E-01,5.13E-05,3.13E-04,1.78E-08,1.87E-07
0.9,6.59E-02,2.99E-01,4.05E-05,3.02E-04,1.46E-08,1.83E-07
1.2,4.63E-02,2.61E-01,3.00E-05,2.84E-04,1.13E-08,1.76E-07
1.5,3.03E-02,2.11E-01,2.10E-05,2.58E-04,8.29E-09,1.67E-07
1.8,1.85E-02,1.56E-01,1.40E-05,2.28E-04,5.83E-09,1.55E-07
2.1,1.06E-02,1.07E-01,8.97E-06,1.91E-04,3.94E-09,1.40E-07
2.4,5.72E-03,6.75E-02,5.50E-06,1.54E-04,2.57E-09,1.24E-07
2.7,2.95E-03,3.92E-02,3.22E-06,1.17E-04,1.62E-09,1.06E-07
3,1.50E-03,2.16E-02,1.81E-06,8.46E-05,9.90E-10,8.74E-08
3.3,7.77E-04,1.17E-02,9.83E-07,5.73E-05,5.86E-10,6.97E-08
3.6,4.16E-04,6.61E-03,5.16E-07,3.66E-05,3.37E-10,5.33E-08
3.9,2.30E-04,3.91E-03,2.65E-07,2.21E-05,1.88E-10,3.91E-08
4.2,1.30E-04,2.41E-03,1.34E-07,1.27E-05,1.02E-10,2.75E-08
4.5,7.39E-05,1.51E-03,6.86E-08,7.13E-06,5.39E-11,1.84E-08
4.8,4.23E-05,9.59E-04,3.56E-08,3.97E-06,2.80E-11,1.18E-08
5.1,2.43E-05,6.14E-04,1.90E-08,2.25E-06,1.43E-11,7.30E-09
5.4,1.40E-05,3.96E-04,1.04E-08,1.31E-06,7.26E-12,4.34E-09
5.7,8.12E-06,2.59E-04,5.85E-09,7.83E-07,3.67E-12,2.51E-09
6,4.73E-06,1.72E-04,3.38E-09,4.84E-07,1.89E-12,1.43E-09
6.5,1.96E-06,8.97E-05,1.42E-09,2.31E-07,6.45E-13,5.61E-10
7,8.33E-07,4.95E-05,6.17E-10,1.17E-07,2.37E-13,2.27E-10
7.5,3.67E-07,2.88E-05,2.77E-10,6.15E-08,8.72E-14,9.76E-11
8,1.68E-07,1.77E-05,1.27E-10,3.32E-08,3.59E-14,4.49E-11
,,,,,,
,"Feed down contributions have been conisered for both Lambda_c and Xi_cc,",,,,,
,"including Sigma_c(2455), Sigma_c(2520), Lambda_c(2595), Lambda_c(2625) and fragmentation fractions for Lambda_c",,,,,
,and Xi_cc*(3648) for Xi_cc,,,,,
,,,,,,
,,,,,,
pT,cross,,,,,
0,3.17E-01,,,,,
0.3,3.27E-01,,,,,
0.6,3.21E-01,,,,,
0.9,2.99E-01,,,,,
1.2,2.61E-01,,,,,
1.5,2.11E-01,,,,,
1.8,1.56E-01,,,,,
2.1,1.07E-01,,,,,
2.4,6.75E-02,,,,,
2.7,3.92E-02,,,,,
3,2.16E-02,,,,,
3.3,1.17E-02,,,,,
3.6,6.61E-03,,,,,
3.9,3.91E-03,,,,,
4.2,2.41E-03,,,,,
4.5,1.51E-03,,,,,
4.8,9.59E-04,,,,,
5.1,6.14E-04,,,,,
5.4,3.96E-04,,,,,
5.7,2.59E-04,,,,,
6,1.72E-04,,,,,
6.5,8.97E-05,,,,,
7,4.95E-05,,,,,
7.5,2.88E-05,,,,,
8,1.77E-05,,,,,